"",0.000,0.320,0.640,0.960,1.280,1.600,1.920,2.240,2.560,2.880,3.200,3.520,3.840,4.160,4.480,4.800,5.120,5.440,5.760,6.080,6.400,6.720,7.040,7.360,7.680,8.000,8.320,8.640,8.960,9.280,9.600,9.920,10.240,10.560,10.880,11.200,11.520,11.840,12.160,12.480,12.800,13.120,13.440,13.760,14.080,14.400,14.720,15.040,15.360,15.680,16.000
0.0000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
16071.0000,0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,-0.000000E+00,0.000000E+00
16071.0035,0.000000E+00,-4.187583E-10,-4.321542E-10,-3.498404E-10,-3.630013E-12,-3.869974E-12,-4.125800E-12,-4.398541E-12,-4.689316E-12,-1.582490E-10,-4.547085E-10,-4.670605E-10,-4.790871E-10,-8.717771E-10,-9.288172E-10,-9.824559E-10,-3.564030E-10,-1.423508E-11,-1.517614E-11,-1.617943E-11,-1.724907E-11,-1.838944E-11,-1.960522E-11,-2.090142E-11,-2.228334E-11,-2.375667E-11,-2.532744E-11,-2.700212E-11,-2.878759E-11,-3.069117E-11,-3.272070E-11,-3.488451E-11,-3.719149E-11,-3.965114E-11,-4.227357E-11,-4.506957E-11,-4.805063E-11,-5.122904E-11,-5.461788E-11,-5.823110E-11,-6.208359E-11,-5.518660E-10,-5.989767E-10,-6.084652E-10,-3.088878E-10,-9.430118E-11,-1.005421E-10,-4.897383E-10,-6.264214E-10,-5.985565E-10,0.000000E+00
16071.0069,0.000000E+00,-1.872481E-10,-2.770244E-10,-1.902708E-10,-3.739766E-10,-3.194715E-11,-5.397570E-11,-8.116640E-11,-1.223697E-10,-2.094667E-11,-3.190779E-10,-4.407361E-10,-4.610704E-10,-5.411358E-10,-6.463600E-10,-6.244669E-10,-4.079209E-10,-2.977226E-10,-9.898596E-12,-1.105614E-11,-1.238275E-11,-1.378744E-11,-1.534755E-11,-1.717988E-11,-1.948121E-11,-2.222148E-11,-2.548499E-11,-2.936305E-11,-3.420804E-11,-4.050546E-11,-4.893734E-11,-6.044471E-11,-7.634494E-11,-9.846013E-11,-1.292542E-10,-1.718831E-10,-2.300043E-10,-3.071981E-10,-4.052246E-10,-5.202146E-10,-6.370771E-10,-6.088936E-11,-7.141169E-10,-4.652879E-10,-3.551681E-10,-1.722751E-09,-3.208693E-10,-5.952569E-11,-7.557070E-10,-2.331661E-09,0.000000E+00
16071.0104,0.000000E+00,-3.674504E-10,-2.566484E-10,-2.579138E-10,-2.336342E-10,-3.989874E-11,-5.493719E-11,-7.715297E-11,-1.076903E-10,-1.502798E-10,-3.014672E-10,-3.223881E-10,-3.605460E-10,-3.718233E-10,-4.393633E-10,-4.214899E-10,-3.391288E-10,-1.876217E-10,-2.420601E-11,-1.993615E-11,-1.876807E-11,-1.923045E-11,-2.064972E-11,-2.277512E-11,-2.555983E-11,-2.869152E-11,-3.235886E-11,-3.681433E-11,-4.220815E-11,-4.872497E-11,-5.651880E-11,-6.560318E-11,-7.577339E-11,-8.649362E-11,-9.686581E-11,-1.058170E-10,-1.124701E-10,-1.165041E-10,-1.182222E-10,-1.184134E-10,-1.175034E-10,-2.384854E-10,-4.484745E-10,-3.622971E-10,-3.179364E-10,-2.424478E-10,-2.041086E-10,-4.298643E-10,-6.896989E-10,-1.286557E-08,0.000000E+00
16071.0139,0.000000E+00,-2.372479E-10,-1.832268E-10,-2.184619E-10,-1.872451E-10,-7.183734E-11,-6.295984E-11,-1.006538E-10,-1.747786E-10,-3.122191E-10,-1.273123E-10,-2.958837E-10,-2.856531E-10,-2.651584E-10,-2.958902E-10,-2.889530E-10,-2.791628E-10,-1.703787E-10,-4.077964E-11,-1.921004E-11,-1.976071E-11,-2.081230E-11,-2.244748E-11,-2.467024E-11,-2.749335E-11,-3.065582E-11,-3.433978E-11,-3.867189E-11,-4.368008E-11,-4.941297E-11,-5.588567E-11,-6.305156E-11,-7.082324E-11,-7.908547E-11,-8.775221E-11,-9.685263E-11,-1.066258E-10,-1.177393E-10,-1.323239E-10,-1.584068E-10,-2.290609E-10,-5.770726E-10,-1.986293E-10,-3.588508E-10,-1.245472E-10,-2.864769E-11,-2.423745E-10,-1.442383E-09,-5.771361E-09,-4.332705E-08,0.000000E+00
16071.0174,0.000000E+00,-2.005913E-10,-1.631297E-10,-1.693872E-10,-1.500848E-10,-7.919905E-11,-6.613090E-11,-9.828116E-11,-1.368369E-10,-1.494219E-10,-1.257589E-10,-2.309869E-10,-2.198086E-10,-1.915698E-10,-2.002029E-10,-1.994338E-10,-2.280173E-10,-1.464730E-10,-4.433324E-11,-1.989756E-11,-2.038076E-11,-2.157032E-11,-2.330370E-11,-2.557534E-11,-2.839900E-11,-3.152456E-11,-3.509820E-11,-3.920783E-11,-4.389366E-11,-4.917924E-11,-5.508502E-11,-6.160477E-11,-6.870734E-11,-7.631562E-11,-8.431449E-11,-9.262152E-11,-1.014026E-10,-1.114867E-10,-1.249982E-10,-1.451581E-10,-1.682814E-10,-1.613625E-10,-1.999434E-10,-2.637395E-10,-3.134780E-10,-6.507188E-11,-4.639219E-11,-1.658102E-10,-7.715542E-11,1.332257E-10,0.000000E+00
16071.0208,0.000000E+00,-1.385935E-10,-1.304137E-10,-1.322577E-10,-1.235673E-10,-7.494898E-11,-6.304954E-11,-8.171119E-11,-1.043510E-10,-1.233165E-10,-1.455980E-10,-1.647707E-10,-1.748448E-10,-1.392191E-10,-1.362106E-10,-1.382600E-10,-1.851796E-10,-1.259056E-10,-4.484251E-11,-2.029907E-11,-1.995911E-11,-2.155838E-11,-2.343687E-11,-2.572505E-11,-2.848145E-11,-3.148650E-11,-3.488723E-11,-3.875216E-11,-4.310746E-11,-4.795984E-11,-5.331240E-11,-5.913860E-11,-6.538478E-11,-7.195286E-11,-7.871820E-11,-8.559537E-11,-9.263905E-11,-1.000609E-10,-1.079335E-10,-1.154555E-10,-1.217875E-10,-1.335561E-10,-1.734293E-10,-1.784565E-10,-2.302634E-10,-2.833051E-11,-5.558282E-12,-1.211726E-11,-2.938501E-13,8.425039E-11,0.000000E+00
16071.0243,0.000000E+00,-9.707159E-11,-1.054879E-10,-1.041623E-10,-9.897033E-11,-6.700436E-11,-5.689884E-11,-6.859296E-11,-8.682928E-11,-1.046077E-10,-1.120526E-10,-1.238853E-10,-1.370994E-10,-1.017004E-10,-9.333805E-11,-9.631305E-11,-1.497991E-10,-1.078372E-10,-4.335385E-11,-1.994970E-11,-1.927895E-11,-2.106197E-11,-2.303072E-11,-2.530165E-11,-2.795369E-11,-3.080236E-11,-3.399520E-11,-3.757990E-11,-4.157063E-11,-4.596614E-11,-5.075273E-11,-5.589322E-11,-6.133129E-11,-6.697287E-11,-7.269017E-11,-7.834435E-11,-8.381813E-11,-8.901902E-11,-9.385058E-11,-9.841462E-11,-1.036812E-10,-1.120329E-10,-1.179744E-10,-1.311817E-10,-1.552041E-10,-1.664614E-11,-1.553232E-12,-2.141831E-12,-2.077906E-14,3.609697E-11,0.000000E+00
16071.0278,0.000000E+00,-6.712064E-11,-8.417859E-11,-8.273591E-11,-7.930518E-11,-5.850958E-11,-5.004635E-11,-5.807725E-11,-7.154345E-11,-8.353626E-11,-8.677223E-11,-9.962139E-11,-1.047496E-10,-7.477387E-11,-6.451567E-11,-6.753499E-11,-1.208721E-10,-9.229439E-11,-4.086124E-11,-1.920534E-11,-1.838183E-11,-2.020601E-11,-2.224382E-11,-2.446958E-11,-2.699005E-11,-2.965810E-11,-3.261894E-11,-3.590676E-11,-3.952937E-11,-4.347838E-11,-4.773221E-11,-5.224995E-11,-5.697367E-11,-6.180829E-11,-6.661844E-11,-7.124212E-11,-7.552672E-11,-7.936132E-11,-8.268243E-11,-8.548623E-11,-8.764047E-11,-9.655233E-11,-9.563644E-11,-9.894302E-11,-1.013748E-10,-1.205297E-11,-9.979462E-13,-1.244652E-12,-1.418345E-14,5.708555E-11,0.000000E+00
16071.0313,0.000000E+00,-4.694444E-11,-6.845911E-11,-6.633261E-11,-6.373797E-11,-5.020104E-11,-4.347343E-11,-4.898381E-11,-5.857481E-11,-6.712633E-11,-7.013491E-11,-8.037640E-11,-8.004498E-11,-5.527963E-11,-4.511635E-11,-4.780568E-11,-9.738320E-11,-7.905050E-11,-3.792990E-11,-1.822987E-11,-1.731547E-11,-1.913993E-11,-2.119148E-11,-2.334798E-11,-2.572078E-11,-2.819653E-11,-3.091760E-11,-3.390948E-11,-3.717582E-11,-4.070373E-11,-4.446845E-11,-4.842670E-11,-5.252028E-11,-5.665714E-11,-6.070749E-11,-6.451309E-11,-6.791327E-11,-7.076081E-11,-7.290802E-11,-7.417476E-11,-7.774796E-11,-8.365754E-11,-7.794842E-11,-7.474289E-11,-6.941100E-11,-9.183943E-12,-9.693830E-13,-1.410486E-12,-1.119829E-14,1.974761E-10,0.000000E+00
16071.0347,0.000000E+00,-3.336844E-11,-5.835242E-11,-5.356603E-11,-5.163074E-11,-4.265352E-11,-3.750399E-11,-4.122522E-11,-4.820422E-11,-5.453245E-11,-5.688327E-11,-6.501288E-11,-6.137963E-11,-4.107686E-11,-3.205294E-11,-3.429469E-11,-7.840055E-11,-6.782406E-11,-3.487872E-11,-1.712369E-11,-1.615308E-11,-1.794323E-11,-1.996280E-11,-2.203326E-11,-2.424964E-11,-2.653028E-11,-2.901411E-11,-3.172070E-11,-3.465150E-11,-3.779173E-11,-4.111501E-11,-4.457825E-11,-4.812557E-11,-5.167082E-11,-5.509301E-11,-5.824024E-11,-6.094560E-11,-6.303713E-11,-6.433177E-11,-6.462310E-11,-7.033559E-11,-7.201287E-11,-6.378175E-11,-5.686109E-11,-4.879305E-11,-6.885306E-12,-1.083534E-12,-1.908817E-12,-4.492945E-16,9.608017E-10,0.000000E+00
16071.0382,0.000000E+00,-2.417594E-11,-4.944025E-11,-4.346931E-11,-4.221955E-11,-3.608200E-11,-3.222523E-11,-3.474671E-11,-3.990836E-11,-4.461759E-11,-4.635061E-11,-5.283961E-11,-4.722130E-11,-3.072693E-11,-2.325078E-11,-2.505194E-11,-6.311144E-11,-5.832875E-11,-3.188074E-11,-1.595485E-11,-1.494762E-11,-1.667139E-11,-1.862977E-11,-2.059918E-11,-2.265682E-11,-2.474617E-11,-2.700204E-11,-2.944035E-11,-3.206187E-11,-3.485138E-11,-3.778232E-11,-4.081361E-11,-4.389260E-11,-4.693950E-11,-4.984252E-11,-5.245845E-11,-5.462304E-11,-5.615649E-11,-5.685349E-11,-5.639724E-11,-6.305649E-11,-6.186070E-11,-5.236797E-11,-4.354963E-11,-3.524597E-11,-5.141262E-12,-1.270092E-12,-2.770020E-12,3.553573E-14,7.135585E-09,0.000000E+00
16071.0417,0.000000E+00,-1.791738E-11,-4.189607E-11,-3.566055E-11,-3.475527E-11,-3.050037E-11,-2.763910E-11,-2.937752E-11,-3.322803E-11,-3.677227E-11,-3.953827E-11,-4.311361E-11,-3.647569E-11,-2.318780E-11,-1.731848E-11,-1.873397E-11,-5.082783E-11,-5.030050E-11,-2.902584E-11,-1.476847E-11,-1.373483E-11,-1.536780E-11,-1.724433E-11,-1.910253E-11,-2.100391E-11,-2.291012E-11,-2.495161E-11,-2.714235E-11,-2.948328E-11,-3.195979E-11,-3.454623E-11,-3.720414E-11,-3.988460E-11,-4.251434E-11,-4.499094E-11,-4.718166E-11,-4.892923E-11,-5.005223E-11,-5.033093E-11,-4.942698E-11,-5.641389E-11,-5.322431E-11,-4.308298E-11,-3.358209E-11,-2.804176E-11,-3.911453E-12,-1.520012E-12,-4.186753E-12,8.874082E-14,9.530909E-08,0.000000E+00
16071.0451,0.000000E+00,-1.358456E-11,-3.550571E-11,-3.063397E-11,-2.881405E-11,-2.583079E-11,-2.370320E-11,-2.493103E-11,-2.783047E-11,-3.053476E-11,-3.445787E-11,-3.522017E-11,-2.833740E-11,-1.769939E-11,-1.332112E-11,-1.441697E-11,-4.097751E-11,-4.350738E-11,-2.635670E-11,-1.359345E-11,-1.253883E-11,-1.406416E-11,-1.584407E-11,-1.758630E-11,-1.933678E-11,-2.107095E-11,-2.291412E-11,-2.487961E-11,-2.696911E-11,-2.916925E-11,-3.145593E-11,-3.379356E-11,-3.613716E-11,-3.841977E-11,-4.054802E-11,-4.239969E-11,-4.382619E-11,-4.464911E-11,-4.464649E-11,-4.505703E-11,-5.040683E-11,-4.584787E-11,-3.551814E-11,-2.607781E-11,-2.245013E-11,-3.053665E-12,-1.826324E-12,-4.889629E-12,9.003170E-14,2.201444E-06,0.000000E+00
16071.0486,0.000000E+00,-1.068083E-11,-3.009359E-11,-2.676080E-11,-2.401978E-11,-2.197951E-11,-2.036145E-11,-2.124871E-11,-2.345504E-11,-2.551901E-11,-2.976059E-11,-2.883310E-11,-2.215624E-11,-1.370725E-11,-1.062996E-11,-1.146779E-11,-3.309210E-11,-3.777086E-11,-2.398177E-11,-1.256373E-11,-1.150284E-11,-1.292596E-11,-1.461326E-11,-1.625113E-11,-1.787088E-11,-1.945788E-11,-2.113106E-11,-2.290347E-11,-2.477747E-11,-2.674090E-11,-2.877106E-11,-3.083472E-11,-3.289010E-11,-3.487549E-11,-3.670533E-11,-3.826725E-11,-3.942276E-11,-4.000277E-11,-3.980262E-11,-4.237548E-11,-4.482083E-11,-3.963769E-11,-2.936023E-11,-2.040918E-11,-1.801787E-11,-2.458613E-12,-1.967407E-12,-1.400110E-12,9.091811E-14,1.878098E-05,0.000000E+00
16071.0521,0.000000E+00,-8.933810E-12,-2.550869E-11,-2.325499E-11,-2.015248E-11,-1.877215E-11,-1.753335E-11,-1.818828E-11,-1.988685E-11,-2.148019E-11,-2.571668E-11,-2.368439E-11,-1.744270E-11,-1.080582E-11,-8.821538E-12,-9.453107E-12,-2.678549E-11,-3.290106E-11,-2.184243E-11,-1.163520E-11,-1.057714E-11,-1.190027E-11,-1.349438E-11,-1.503187E-11,-1.653047E-11,-1.798280E-11,-1.950133E-11,-2.109896E-11,-2.277879E-11,-2.452991E-11,-2.633120E-11,-2.815197E-11,-2.995374E-11,-3.168020E-11,-3.325364E-11,-3.457188E-11,-3.550783E-11,-3.590466E-11,-3.557654E-11,-3.887917E-11,-3.970175E-11,-3.438020E-11,-2.433417E-11,-1.611089E-11,-1.450953E-11,-2.047202E-12,-2.206530E-12,-7.034342E-13,1.084892E-13,7.592784E-06,0.000000E+00
16071.0556,0.000000E+00,-7.462173E-12,-2.162632E-11,-2.025534E-11,-1.704486E-11,-1.608739E-11,-1.514585E-11,-1.563703E-11,-1.696093E-11,-1.820887E-11,-2.224082E-11,-1.951825E-11,-1.384341E-11,-8.699122E-12,-7.508733E-12,-8.054913E-12,-2.174567E-11,-2.875807E-11,-1.991645E-11,-1.079761E-11,-9.748002E-12,-1.097402E-11,-1.247612E-11,-1.391757E-11,-1.530404E-11,-1.663348E-11,-1.801197E-11,-1.945222E-11,-2.095810E-11,-2.251999E-11,-2.411847E-11,-2.572538E-11,-2.730560E-11,-2.880796E-11,-3.016225E-11,-3.127602E-11,-3.203295E-11,-3.228441E-11,-3.181471E-11,-3.550756E-11,-3.528545E-11,-2.983195E-11,-2.022546E-11,-1.284338E-11,-1.173795E-11,-1.751302E-12,-2.539373E-12,-6.660889E-13,1.290381E-13,2.880549E-06,0.000000E+00
16071.0590,0.000000E+00,-6.268915E-12,-1.834383E-11,-1.767634E-11,-1.452211E-11,-1.384283E-11,-1.312929E-11,-1.350363E-11,-1.454788E-11,-1.553730E-11,-1.925188E-11,-1.613934E-11,-1.109158E-11,-7.171250E-12,-6.607138E-12,-7.013458E-12,-1.772019E-11,-2.522317E-11,-1.818213E-11,-1.004098E-11,-9.003298E-12,-1.013561E-11,-1.154800E-11,-1.289796E-11,-1.418071E-11,-1.539808E-11,-1.664987E-11,-1.794863E-11,-1.929896E-11,-2.069256E-11,-2.211171E-11,-2.353075E-11,-2.491773E-11,-2.622640E-11,-2.739350E-11,-2.833551E-11,-2.894588E-11,-2.908359E-11,-2.853888E-11,-3.241482E-11,-3.140373E-11,-2.590197E-11,-1.686188E-11,-1.035468E-11,-9.552174E-12,-1.534613E-12,-2.952238E-12,-6.837325E-13,1.518930E-13,1.337154E-06,0.000000E+00
16071.0625,0.000000E+00,-5.301524E-12,-1.557090E-11,-1.545211E-11,-1.245628E-11,-1.196323E-11,-1.142242E-11,-1.171360E-11,-1.254641E-11,-1.333892E-11,-1.668074E-11,-1.339312E-11,-8.985668E-12,-6.065012E-12,-6.150784E-12,-6.314771E-12,-1.450650E-11,-2.219739E-11,-1.661933E-11,-9.355847E-12,-8.332906E-12,-9.375206E-12,-1.070078E-11,-1.196401E-11,-1.315088E-11,-1.426607E-11,-1.540332E-11,-1.657505E-11,-1.778651E-11,-1.903068E-11,-2.029150E-11,-2.154573E-11,-2.276442E-11,-2.390585E-11,-2.491312E-11,-2.571081E-11,-2.620139E-11,-2.625289E-11,-2.568237E-11,-2.958360E-11,-2.797676E-11,-2.251016E-11,-1.410235E-11,-8.456680E-12,-7.830997E-12,-1.374362E-12,-3.440192E-12,-7.163727E-13,1.769801E-13,9.240274E-07,0.000000E+00
